layer,ivr_corr,consistent_active_jaccard,overall_ivr_corr,top_varying_overlap,top_consistent_overlap
0,0.9990942020944867,0.991652754590985,0.9986584598272498,0.91,1.0
1,0.9989490339532009,0.9910162829870859,0.9986584598272498,0.91,1.0
2,0.9988078580909284,0.9974160206718347,0.9986584598272498,0.91,1.0
3,0.998736086182534,0.9923954372623575,0.9986584598272498,0.91,1.0
4,0.9986623493733092,0.9978425026968716,0.9986584598272498,0.91,1.0
5,0.9986913894846803,0.998876404494382,0.9986584598272498,0.91,1.0
6,0.9986253779301669,0.9988801791713325,0.9986584598272498,0.91,1.0
7,0.9985768852828708,0.9707475622968581,0.9986584598272498,0.91,1.0
8,0.9983575522060724,0.998046875,0.9986584598272498,0.91,1.0
9,0.9983117303321037,1.0,0.9986584598272498,0.91,1.0
10,0.9983618392672909,0.9959514170040485,0.9986584598272498,0.91,1.0
11,0.9982016750827938,0.994692144373673,0.9986584598272498,0.91,1.0
