model,layer,relative_depth,mean_ivr,median_ivr,ivr_p01,ivr_p05,ivr_p10,median_rms,energy_reference,inactive_energy_threshold,inactive,consistent_active,mixed_active,input_varying_active
gpt2-small,0,0.0,0.9218155741691589,0.9808726906776428,0.026266377419233322,0.588025689125061,0.8223049640655518,0.9041147828102112,0.8174235224723816,0.008174235001206398,0.0,0.0181884765625,0.02189127542078495,0.9599202275276184
gpt2-small,1,0.09090909090909091,0.9252405166625977,0.9781375527381897,0.029580065980553627,0.6751288771629333,0.8339380025863647,1.099786400794983,1.2095301151275635,0.012095300480723381,0.0,0.01806640625,0.014088948257267475,0.9678446650505066
gpt2-small,2,0.18181818181818182,0.938481867313385,0.9814152717590332,0.04435548186302185,0.7577639818191528,0.8791801333427429,1.2810466289520264,1.6410804986953735,0.01641080528497696,0.0,0.01177978515625,0.013285319320857525,0.9749348759651184
gpt2-small,3,0.2727272727272727,0.947644054889679,0.9840968251228333,0.08285664021968842,0.806665301322937,0.8965197801589966,1.4945158958435059,2.2335779666900635,0.022335778921842575,0.0,0.010670979507267475,0.009847004897892475,0.9794819951057434
gpt2-small,4,0.36363636363636365,0.9495528340339661,0.9848659634590149,0.17588642239570618,0.8143420219421387,0.8988272547721863,1.6846214532852173,2.837949275970459,0.028379492461681366,0.0,0.009419758804142475,0.009043375961482525,0.981536865234375
gpt2-small,5,0.45454545454545453,0.9515151381492615,0.9864988923072815,0.20950259268283844,0.8158934712409973,0.907380223274231,1.9104245901107788,3.649722099304199,0.036497220396995544,1.0172526344831567e-05,0.009053547866642475,0.010416666977107525,0.9805195927619934
gpt2-small,6,0.5454545454545454,0.9489968419075012,0.9853558540344238,0.183946892619133,0.8101493120193481,0.8970502018928528,2.175844192504883,4.734298229217529,0.04734298214316368,1.0172526344831567e-05,0.009073893539607525,0.011240641586482525,0.97967529296875
gpt2-small,7,0.6363636363636364,0.9461455345153809,0.98395174741745,0.10428895801305771,0.7945536971092224,0.8844224810600281,2.543562650680542,6.4697113037109375,0.06469710916280746,1.0172526344831567e-05,0.0091552734375,0.010457356460392475,0.980377197265625
gpt2-small,8,0.7272727272727273,0.934995174407959,0.9763690233230591,0.07112128287553787,0.7522726058959961,0.8517168760299683,3.0114011764526367,9.068536758422852,0.09068536758422852,1.0172526344831567e-05,0.010406494140625,0.009836832992732525,0.9797465205192566
gpt2-small,9,0.8181818181818182,0.9290702939033508,0.9729446172714233,0.07508992403745651,0.719308614730835,0.8376491069793701,3.678051710128784,13.528063774108887,0.13528063893318176,1.0172526344831567e-05,0.010355631820857525,0.012776692397892475,0.9768574833869934
gpt2-small,10,0.9090909090909091,0.9254525303840637,0.9702911972999573,0.09821511059999466,0.7275310754776001,0.8326975107192993,4.544231414794922,20.650039672851562,0.20650039613246918,1.0172526344831567e-05,0.010040283203125,0.014638264663517475,0.975311279296875
gpt2-small,11,1.0,0.927034318447113,0.968561589717865,0.11791905015707016,0.7409244775772095,0.8362784385681152,5.339354038238525,28.50870132446289,0.2850870192050934,0.0,0.009562174789607525,0.012949625961482525,0.9774882197380066
opt-125m,0,0.0,0.9429898858070374,0.9840784668922424,0.04395396634936333,0.8028184175491333,0.8915383815765381,0.05946154519915581,0.0035356751177459955,3.535675205057487e-05,0.0,0.014729817397892475,0.011383056640625,0.9738871455192566
opt-125m,1,0.09090909090909091,0.9463343620300293,0.986177384853363,0.05042538791894913,0.8155132532119751,0.9022786021232605,0.06653859466314316,0.004427385050803423,4.427384919836186e-05,0.0,0.013885498046875,0.011922200210392475,0.9741923213005066
opt-125m,2,0.18181818181818182,0.9513651728630066,0.9875860810279846,0.0732438936829567,0.8343619108200073,0.9065472483634949,0.07428610324859619,0.00551842525601387,5.518425314221531e-05,0.0,0.010935465805232525,0.010172526352107525,0.9788920283317566
opt-125m,3,0.2727272727272727,0.9544641375541687,0.9879997372627258,0.1278996765613556,0.8422008752822876,0.9117355346679688,0.08029792457818985,0.006447757128626108,6.447757186833769e-05,0.0,0.009562174789607525,0.009134928695857525,0.9813029170036316
opt-125m,4,0.36363636363636365,0.9572656750679016,0.9887723326683044,0.17644965648651123,0.8530441522598267,0.9179482460021973,0.09081125259399414,0.00824668351560831,8.246683137258515e-05,0.0,0.009206135757267475,0.00762939453125,0.9831644892692566
opt-125m,5,0.45454545454545453,0.9583564400672913,0.9886459112167358,0.18203866481781006,0.8539713025093079,0.9199318289756775,0.10336770862340927,0.010684882290661335,0.0001068488199962303,0.0,0.009124755859375,0.0064188637770712376,0.9844563603401184
opt-125m,6,0.5454545454545454,0.9582892060279846,0.9887853264808655,0.17821002006530762,0.8494575023651123,0.918079674243927,0.12002982199192047,0.014407157897949219,0.00014407157141249627,0.0,0.009165446273982525,0.0056559243239462376,0.9851786494255066
