layer,ivr_corr,consistent_active_jaccard,overall_ivr_corr,top_varying_overlap,top_consistent_overlap
0,0.9988712950196027,0.9876373626373627,0.9985084129490293,0.86,0.99
1,0.998970523571903,0.993421052631579,0.9985084129490293,0.86,0.99
2,0.9988559291545479,0.9953574744661096,0.9985084129490293,0.86,0.99
3,0.9987365278272909,0.994692144373673,0.9985084129490293,0.86,0.99
4,0.9986905228927204,0.9988950276243094,0.9985084129490293,0.86,0.99
5,0.9986526455402687,0.9977753058954394,0.9985084129490293,0.86,0.99
6,0.9986185525925333,0.9977827050997783,0.9985084129490293,0.86,0.99
7,0.9985136819940421,0.9966592427616926,0.9985084129490293,0.86,0.99
8,0.9983284323366465,0.9977876106194691,0.9985084129490293,0.86,0.99
9,0.9981552271274113,0.9988913525498891,0.9985084129490293,0.86,0.99
10,0.9980427657465945,0.9735935706084959,0.9985084129490293,0.86,0.99
11,0.996830524510529,0.9869281045751634,0.9985084129490293,0.86,0.99
