layer,ivr_corr,consistent_active_jaccard,overall_ivr_corr,top_varying_overlap,top_consistent_overlap
0,0.9966789660184199,nan,0.9993234859187765,0.91,0.96
1,0.9963561227103837,0.5,0.9993234859187765,0.91,0.96
2,0.9960213654679652,0.9142857142857143,0.9993234859187765,0.91,0.96
3,0.9968992315335136,0.9857549857549858,0.9993234859187765,0.91,0.96
4,0.9973579563713943,0.9908256880733946,0.9993234859187765,0.91,0.96
5,0.9969001085928831,0.9935064935064936,0.9993234859187765,0.91,0.96
6,0.9973800008374143,0.9968553459119497,0.9993234859187765,0.91,0.96
7,0.9974373655907055,0.9830985915492958,0.9993234859187765,0.91,0.96
8,0.9979748416758637,0.9717868338557993,0.9993234859187765,0.91,0.96
9,0.9984962660127045,0.9788519637462235,0.9993234859187765,0.91,0.96
10,0.9981758722107819,0.9140127388535032,0.9993234859187765,0.91,0.96
11,0.9987983542950553,0.9704099017839246,0.9993234859187765,0.91,0.96
